
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
47, -60, 1978, -0.351022, -0.178419, 0.154811, 0.357735, 3.24186, 7.24694, 10.3747, 11.3051, 10.9474, 8.87257, 7.02426, 3.93881, 1.13646, 1.25147, 9.64225, 8.94808, 5.24456
47, -60, 1979, 0.211973, -0.170436, -0.431187, 1.29769, 4.24868, 6.69995, 11.1366, 10.9018, 11.0523, 10.5857, 6.18444, 3.49789, 1.17981, 1.70506, 9.57944, 9.27415, 5.43462
47, -60, 1980, -0.275804, -3.87104, -2.09245, 0.478442, 5.46014, 8.42481, 11.0192, 12.0794, 11.6337, 9.44008, 6.53605, 3.57183, -0.191672, 1.28204, 10.5078, 9.20329, 5.20037
47, -60, 1981, 1.58716, -1.20834, 0.0460213, 1.68461, 4.85198, 6.05479, 9.66396, 10.9288, 12.5534, 10.0788, 5.99717, 2.78431, 1.05438, 2.1942, 8.88251, 9.54314, 5.41856
47, -60, 1982, 0.126017, -1.13796, 0.00422019, 1.81819, 5.2139, 7.72782, 9.64787, 11.5472, 11.716, 10.3753, 7.92426, 4.84084, 1.2763, 2.34543, 9.64097, 10.0052, 5.81697
47, -60, 1983, -0.237269, -2.05781, -0.54987, 0.813415, 4.3949, 6.57586, 10.4847, 11.7021, 11.7301, 10.7672, 8.14811, 5.49253, 1.06582, 1.55281, 9.58756, 10.2151, 5.60533
47, -60, 1984, 2.56701, -1.80143, 0.331511, 1.49225, 5.36098, 8.17062, 8.89727, 10.8579, 11.474, 8.76587, 6.48361, 2.00771, 0.924428, 2.39491, 9.30861, 8.90784, 5.38395
47, -60, 1985, -0.882966, -1.05229, 0.290458, 1.22683, 3.70323, 7.31705, 10.74, 10.6086, 10.4054, 9.93579, 7.24243, 3.92271, 0.662484, 1.74017, 9.55521, 9.19456, 5.28811
47, -60, 1986, 1.0835, -0.919856, -1.96724, 2.28313, 5.49608, 8.37666, 10.759, 12.0766, 12.7654, 10.8851, 7.99626, 5.08192, 1.74852, 1.93732, 10.4041, 10.5489, 6.15971
47, -60, 1987, -0.247431, -1.10436, 0.0484981, 1.70554, 4.9801, 7.37831, 9.59957, 11.6282, 12.1765, 9.34968, 6.40028, 3.37951, 0.675906, 2.24471, 9.53538, 9.30882, 5.4412
47, -60, 1988, -0.145615, -0.679505, -0.452092, 1.48752, 4.41601, 6.75473, 10.4422, 11.7423, 12.2466, 10.9002, 7.64678, 3.25004, 0.808306, 1.81714, 9.64642, 10.2645, 5.6341
47, -60, 1989, -0.0332285, -0.306959, -0.0461698, 2.20521, 5.06851, 7.9489, 10.5829, 11.1758, 12.1963, 10.5643, 6.434, 3.27089, 0.976902, 2.40918, 9.90255, 9.73154, 5.75504
47, -60, 1990, -1.77137, -2.84823, -2.07867, 0.178331, 3.86108, 7.09699, 10.0383, 11.0121, 12.1588, 9.57538, 7.36078, 2.75944, -0.620055, 0.653579, 9.38249, 9.69833, 4.77859
47, -60, 1991, -3.31441, -2.85901, -1.04547, 1.53062, 4.58628, 6.20885, 9.4059, 11.9648, 11.0608, 10.5457, 7.344, 3.11196, -1.02049, 1.69047, 9.19318, 9.65015, 4.87833
47, -60, 1992, -1.46383, -3.44509, -2.35797, -0.415784, 3.04584, 6.14891, 9.68278, 10.6662, 10.7757, 8.9001, 7.17495, 3.91064, -0.332759, 0.0906958, 8.83262, 8.95026, 4.3852
47, -60, 1993, -0.218228, -2.55004, -0.548882, 0.711622, 2.17284, 6.57933, 9.34021, 11.2849, 10.783, 9.21533, 7.61061, 3.56685, 0.266194, 0.778525, 9.06814, 9.20299, 4.82896
47, -60, 1994, -0.363927, -0.83021, 0.414407, 1.73692, 4.66248, 7.55095, 11.2276, 11.7451, 11.4105, 9.73806, 7.02585, 3.4738, 0.759889, 2.27127, 10.1746, 9.39148, 5.6493
47, -60, 1995, -0.0581085, -1.77496, -0.334014, 1.56396, 4.44032, 8.16347, 11.3693, 12.0738, 11.8674, 10.3798, 7.26871, 4.91012, 1.02568, 1.89009, 10.5355, 9.83864, 5.82248
47, -60, 1996, 1.06662, -0.991769, -0.145671, 1.68629, 3.98945, 7.27451, 10.1106, 12.0963, 12.4452, 10.6904, 7.6515, 3.94446, 1.33977, 1.84336, 9.82711, 10.2624, 5.81815
47, -60, 1997, 1.75018, -0.31308, -0.709747, 2.20748, 4.43874, 9.4271, 11.5978, 12.1575, 12.3268, 11.0982, 8.09959, 5.28169, 2.2396, 1.97882, 11.0608, 10.5082, 6.44685
47, -60, 1998, 0.63029, -2.49286, -0.505765, 1.22371, 5.27318, 7.21083, 10.3746, 11.3997, 11.5824, 10.1981, 7.1602, 4.73795, 0.958462, 1.99704, 9.6617, 9.64689, 5.56602
47, -60, 1999, -0.802738, -2.25753, -0.839281, 1.3742, 4.46171, 7.68911, 11.1293, 12.255, 12.8719, 10.1052, 7.37601, 3.5365, 0.158745, 1.66554, 10.3578, 10.1177, 5.57494
