
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean Min (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
47, -60, 1982, -1.18975, -2.49372, -1.1991, 0.843215, 3.87002, 6.31727, 8.52501, 10.0881, 10.3022, 9.2987, 6.81918, 3.7898, 0.0354418, 1.17138, 8.31012, 8.80669, 4.58091
47, -60, 1983, -1.94686, -4.2211, -1.4499, 0.112366, 2.57782, 5.37695, 8.87794, 10.5487, 10.39, 9.37945, 6.93982, 4.0617, -0.702087, 0.413429, 8.26787, 8.90308, 4.22057
47, -60, 1984, 1.38056, -3.17067, -0.989028, 0.204454, 3.87613, 6.98592, 8.20943, 9.89364, 10.281, 7.70892, 5.01597, 0.911862, -0.292749, 1.03052, 8.363, 7.66862, 4.19235
47, -60, 1985, -2.48859, -1.98052, -0.539265, -0.77563, 2.80089, 6.06645, 9.14316, 9.71767, 9.59079, 8.65321, 5.83734, 3.08728, -0.460612, 0.495333, 8.30909, 8.02711, 4.09273
47, -60, 1986, -0.841974, -2.46592, -3.41364, 0.999604, 3.90252, 6.841, 9.63394, 10.9266, 11.2872, 9.82945, 7.11508, 4.25359, 0.315232, 0.496159, 9.13383, 9.41057, 4.83895
47, -60, 1987, -1.56927, -2.7085, -1.8739, 0.676015, 3.65519, 6.16697, 8.53881, 10.3123, 10.5053, 8.16217, 5.48378, 2.47525, -0.60084, 0.8191, 8.33934, 8.05043, 4.15201
47, -60, 1988, -2.0479, -2.14089, -1.48131, 0.431732, 3.03006, 5.1553, 8.97134, 10.3588, 10.6405, 9.78848, 6.43808, 1.19936, -0.996477, 0.660159, 8.16181, 8.95567, 4.19529
47, -60, 1989, -1.60622, -1.58614, -1.48418, 0.668922, 3.59988, 6.59091, 9.36327, 10.2894, 11.0462, 9.29243, 5.23708, 2.34185, -0.283504, 0.928204, 8.74788, 8.52525, 4.47946
47, -60, 1990, -3.14586, -4.31572, -3.8251, -1.36046, 2.26615, 5.50231, 8.87566, 9.76442, 10.5802, 8.41649, 6.0466, 1.58393, -1.95922, -0.973134, 8.04746, 8.34777, 3.36572
47, -60, 1991, -4.90327, -4.51744, -2.32161, 0.0522176, 3.10422, 5.281, 8.01855, 10.3513, 9.51492, 9.40378, 5.95213, 1.41874, -2.66732, 0.278276, 7.8836, 8.29028, 3.44621
47, -60, 1992, -3.27486, -5.20912, -3.38083, -1.21313, 1.83105, 4.89184, 8.32471, 9.57063, 9.70084, 7.78983, 5.97217, 2.42599, -2.01933, -0.920969, 7.59572, 7.82095, 3.11909
47, -60, 1993, -1.40078, -3.93686, -1.60569, -0.449192, 1.42916, 5.17098, 7.8869, 9.86478, 9.57991, 8.03684, 6.13977, 1.69254, -1.21504, -0.208575, 7.64089, 7.91884, 3.53403
47, -60, 1994, -2.131, -2.13046, -0.476196, 0.284961, 3.60973, 6.29015, 9.94634, 10.363, 10.1172, 8.50589, 5.65348, 2.23919, -0.674093, 1.1395, 8.8665, 8.09219, 4.35602
47, -60, 1995, -2.04739, -3.41679, -1.33583, 0.281353, 3.24485, 6.56833, 9.76305, 10.8885, 10.632, 9.19656, 6.07997, 3.88337, -0.526937, 0.730124, 9.0733, 8.63619, 4.47817
47, -60, 1996, -0.648445, -2.85788, -1.54166, 0.376964, 3.18146, 6.32529, 9.00531, 10.8658, 10.6442, 9.76798, 6.58788, 3.03908, -0.155749, 0.672254, 8.73212, 9.00001, 4.56216
47, -60, 1997, 0.29101, -2.20296, -2.30994, 0.86232, 3.20084, 7.56983, 10.1267, 10.9956, 10.9543, 9.5921, 6.89746, 4.17115, 0.753066, 0.584405, 9.56403, 9.14795, 5.01236
47, -60, 1998, -0.872674, -3.77365, -2.41972, -0.458471, 3.59522, 5.88927, 8.64807, 10.2806, 10.2559, 8.90535, 6.2771, 3.65618, -0.330048, 0.23901, 8.27263, 8.47944, 4.16526
47, -60, 1999, -2.02954, -3.85504, -2.38317, 0.485987, 3.33459, 6.60009, 9.54878, 10.8131, 11.5122, 9.02021, 6.08841, 2.41277, -1.15727, 0.479136, 8.98733, 8.8736, 4.2957
47, -60, 2000, -0.861287, -1.38039, -0.388985, 1.8099, 4.72553, 7.2477, 9.22739, 10.6527, 10.3456, 8.468, 5.93847, 2.36415, 0.0408234, 2.04881, 9.04261, 8.25067, 4.84573
47.5, -60, 1971, -2.0732, -5.16337, -3.65913, -0.400515, 2.97725, 5.29007, 8.3393, 10.0147, 9.90945, 8.10639, 4.45621, 1.43892, -1.93255, -0.360799, 7.88134, 7.49068, 3.26967
47.5, -60, 1972, -1.48024, -3.25284, -2.22112, -1.24773, 1.51601, 5.39876, 8.11843, 9.50889, 9.40095, 7.96607, 5.01723, 1.02299, -1.2367, -0.650945, 7.67536, 7.46142, 3.31228
